id,titulo
1997,"4.1.4.14. Unidades de trabajo año en explotaciones agrarias (1982, 1989, 1999)"
24795,4.1.4.15. Unidades ganaderas por tipo (1999)
24797,4.1.4.16. Cabezas de ganado por tipo (1999)
40903,4.2.1. Pesca fresca subastada en las principales lonjas en Andalucía
39837,4.3.1. Consumo de energía eléctrica por sectores
114675,4.3.2. Número de contratos de energía eléctrica por sectores
117503,4.4.1.1.1. Total de establecimientos de alojamientos turísticos por tipo de alojamiento
117646,4.4.1.1.2. Total de plazas en alojamientos turísticos por tipo de alojamiento
117647,4.4.1.2.1. Hoteles: establecimientos y plazas por categoría
117649,4.4.1.2.2. Hoteles-Apartamento: establecimientos y plazas por categoría
117650,4.4.1.2.3. Hostales y pensiones: establecimientos y plazas por categoría
117651,4.4.1.3.1. Apartamentos y plazas en apartamentos por categoría
117652,4.4.1.4.1. Otros alojamientos reglados: establecimientos y plazas por categoría
117653,4.4.1.5.1. Vviviendas con fines turísticos: establecimientos y plazas
16679,4.4.2.1. Establecimientos hoteleros por clase y categoría (1988-2014)
16681,4.4.2.2. Plazas en establecimientos hoteleros por clase y categoría (1988-2014)
16752,4.4.2.3. Apartamentos por categorías (1988-2014)
16754,4.4.2.4. Plazas en apartamentos por categorías (1988-2014)
16718,4.4.2.5. Campamentos turísticos por categorías (1988-2014)
16722,4.4.2.6. Plazas en campamentos turísticos por categoría (1988-2014)
16766,4.4.2.7. Establecimientos turísticos rurales (2000-2014)
37291,4.4.2.8. Plazas en establecimientos turísticos rurales (2000-2014)
23400,4.4.2.9. Restaurantes por categorías. (1988-2009)
23429,4.4.2.10. Plazas en restaurantes por categoría. (1988-2003)
23432,4.4.2.11. Cafeterías por categorías. (1988-2009)
23433,4.4.2.12. Plazas en cafeterías por categorías. (1988-2003)
114220,"4.4.3.1. Viviendas turísticas, plazas y plazas por vivienda turística"
87775,4.5.1. Índice de alquiler de vivienda. Viviendas unifamiliares
102084,4.5.2. Indice de alquiler de vivienda. Viviendas colectivas
24840,4.5.3. Transacciones inmobiliarias según régimen de protección
24842,4.5.4. Transacciones inmobiliarias según antigüedad de la vivienda
113255,4.5.5. Valor tasado de la vivienda libre (municipios de más de 25.000 habitantes)
38291,4.5.6. Actuaciones protegidas de vivienda y suelo
24844,4.5.7. Viviendas libres de nueva planta. (1999-2002)
1231,4.6.1.1.1. Parque de vehículos por tipo
1251,4.6.1.1.2. Parque de vehículos por tipo de carburante
1253,4.6.1.1.3. Parque de turismos por tipo de carburante
96216,4.6.1.1.4. Parque de motocicletas por tipo de carburante
96217,4.6.1.1.5. Parque de camiones y furgonetas por tipo de carburante
96218,4.6.1.1.6. Parque de autobuses por tipo de carburante
96219,4.6.1.1.7. Parque de ciclomotores por tipo de carburante
96220,4.6.1.1.8. Parque de otros vehículos por tipo de carburante
1999,4.6.1.1.9. Parque de turismos según cilindrada
2004,4.6.1.1.10. Parque de vehículos por tipo y servicio (1991-2003)
2006,4.6.1.1.11. Parque de camiones por carga (1991-2003)
1274,4.6.1.2.1. Vehículos matriculados por mes
1269,4.6.1.2.2. Vehículos matriculados por tipo de carrocería
40953,4.6.1.3.1. Permisos y licencias vigentes por sexo
112605,4.6.1.3.2. Permisos vigentes por sexo y grupos de edad
112607,4.6.1.3.3. Licencias vigentes por sexo y grupos de edad
1310,4.6.2.1. Autorizaciones de transporte por tipo
1312,4.6.2.2. Autorizaciones de transporte público de mercancías según tipo
1329,4.6.2.3. Autorizaciones de transporte privado de mercancías según tipo
1331,4.6.2.4. Autorizaciones de transporte de viajeros según tipo de servicio
1332,4.6.2.5. Autorizaciones de transporte de viajeros según tipo de licencia
1333,4.6.2.6. Autorizaciones de transporte público de viajeros según número de viajeros
72860,4.7.1. Cobertura de banda ancha por tipo de tecnología
82401,4.7.2. Cobertura de banda ancha según velocidad
